Ticker,date,month,open,high,low,close,volume
LT,2023-10-05 05:30:00,2023-10,3032.55,3114.9,3032.55,3096.05,3413447
TATACONSUM,2023-10-05 05:30:00,2023-10,855.42,858.58,846.97,849.64,740770
RELIANCE,2023-10-05 05:30:00,2023-10,1159.63,1164.7,1154.5,1157.05,10953682
HCLTECH,2023-10-05 05:30:00,2023-10,1249.0,1253.95,1227.8,1235.45,2995200
JSWSTEEL,2023-10-05 05:30:00,2023-10,762.0,762.65,752.9,755.5,1459736
ULTRACEMCO,2023-10-05 05:30:00,2023-10,8177.0,8208.8,8125.0,8177.45,310506
POWERGRID,2023-10-05 05:30:00,2023-10,199.5,199.5,195.35,196.6,14575590
INFY,2023-10-05 05:30:00,2023-10,1452.0,1475.65,1450.2,1463.45,7384621
TRENT,2023-10-05 05:30:00,2023-10,2022.95,2058.15,2022.3,2047.6,461744
BHARTIARTL,2023-10-05 05:30:00,2023-10,925.05,929.6,919.4,928.85,7063132
TATAMOTORS,2023-10-05 05:30:00,2023-10,619.0,621.35,614.65,619.6,7893892
WIPRO,2023-10-05 05:30:00,2023-10,407.95,410.4,405.0,406.8,4062652
TECHM,2023-10-05 05:30:00,2023-10,1214.0,1223.95,1199.5,1205.6,2497613
NTPC,2023-10-05 05:30:00,2023-10,237.25,237.4,232.05,233.85,22472389
HINDUNILVR,2023-10-05 05:30:00,2023-10,2518.0,2524.8,2495.35,2519.55,1909928
APOLLOHOSP,2023-10-05 05:30:00,2023-10,5054.95,5079.85,5026.65,5047.05,363289
M&M,2023-10-05 05:30:00,2023-10,1533.0,1550.8,1513.05,1537.95,1991367
GRASIM,2023-10-05 05:30:00,2023-10,1889.59,1901.44,1873.55,1882.67,544715
ICICIBANK,2023-10-05 05:30:00,2023-10,935.2,943.95,934.55,940.85,10478856
ADANIENT,2023-10-05 05:30:00,2023-10,2477.95,2486.5,2446.4,2466.35,1132455
ADANIPORTS,2023-10-05 05:30:00,2023-10,830.85,832.0,820.25,825.2,2083505
BEL,2023-10-05 05:30:00,2023-10,139.5,141.35,138.1,138.95,15996620
BAJAJFINSV,2023-10-05 05:30:00,2023-10,1540.0,1556.0,1532.3,1542.55,1153064
EICHERMOT,2023-10-05 05:30:00,2023-10,3405.5,3453.9,3387.05,3443.6,394665
COALINDIA,2023-10-05 05:30:00,2023-10,288.8,290.55,283.9,289.35,8687014
MARUTI,2023-10-05 05:30:00,2023-10,10182.0,10271.0,10109.0,10210.2,377196
INDUSINDBK,2023-10-05 05:30:00,2023-10,1408.7,1415.4,1394.3,1401.85,1647175
ASIANPAINT,2023-10-05 05:30:00,2023-10,3210.0,3232.1,3174.3,3206.25,1002610
TATASTEEL,2023-10-05 05:30:00,2023-10,125.9,126.15,124.55,125.25,27063441
HDFCLIFE,2023-10-05 05:30:00,2023-10,626.0,627.75,619.9,624.35,4050085
DRREDDY,2023-10-05 05:30:00,2023-10,1092.0,1095.0,1080.0,1081.45,2058530
SUNPHARMA,2023-10-05 05:30:00,2023-10,1124.65,1128.65,1111.8,1119.1,2348562
KOTAKBANK,2023-10-05 05:30:00,2023-10,1730.0,1747.0,1721.15,1734.25,2966801
SHRIRAMFIN,2023-10-05 05:30:00,2023-10,1852.0,1872.95,1823.0,1837.5,1479477
NESTLEIND,2023-10-05 05:30:00,2023-10,2300.5,2310.72,2277.5,2291.87,680000
ONGC,2023-10-05 05:30:00,2023-10,181.25,184.0,181.0,182.2,11128340
CIPLA,2023-10-05 05:30:00,2023-10,1170.1,1172.95,1155.25,1161.1,1446743
BPCL,2023-10-05 05:30:00,2023-10,172.75,173.88,171.4,172.23,7115506
BRITANNIA,2023-10-05 05:30:00,2023-10,4540.25,4548.2,4500.0,4533.9,302015
SBILIFE,2023-10-05 05:30:00,2023-10,1271.0,1282.1,1264.95,1274.45,979561
HINDALCO,2023-10-05 05:30:00,2023-10,473.4,482.4,468.35,470.55,4801287
HEROMOTOCO,2023-10-05 05:30:00,2023-10,3020.0,3048.85,2993.4,3016.65,537209
AXISBANK,2023-10-05 05:30:00,2023-10,1000.0,1009.2,988.9,1003.25,7950412
HDFCBANK,2023-10-05 05:30:00,2023-10,1535.05,1551.55,1532.6,1535.75,24256337
BAJAJ-AUTO,2023-10-05 05:30:00,2023-10,4935.0,5039.3,4925.1,5011.05,657876
SBIN,2023-10-06 05:30:00,2023-10,593.4,598.95,592.2,594.25,8216780
BAJFINANCE,2023-10-06 05:30:00,2023-10,7850.0,8192.0,7845.0,8168.55,2145034
TITAN,2023-10-06 05:30:00,2023-10,3230.0,3319.8,3221.1,3309.75,1102120
ITC,2023-10-06 05:30:00,2023-10,437.85,443.6,436.65,442.15,8418580
TCS,2023-10-06 05:30:00,2023-10,3591.0,3634.95,3575.05,3621.4,2075691
LT,2023-10-06 05:30:00,2023-10,3114.95,3114.95,3073.15,3093.7,1898118
TATACONSUM,2023-10-06 05:30:00,2023-10,850.43,866.73,850.43,864.01,948330
RELIANCE,2023-10-06 05:30:00,2023-10,1158.53,1162.4,1156.03,1159.0,5431026
HCLTECH,2023-10-06 05:30:00,2023-10,1252.0,1256.0,1230.1,1237.7,2497711
JSWSTEEL,2023-10-06 05:30:00,2023-10,760.35,771.15,758.65,765.2,2026927
ULTRACEMCO,2023-10-06 05:30:00,2023-10,8198.0,8239.65,8151.25,8195.45,158491
POWERGRID,2023-10-06 05:30:00,2023-10,197.0,197.45,194.85,197.05,12857229
INFY,2023-10-06 05:30:00,2023-10,1469.5,1484.5,1463.3,1478.7,3598672
TRENT,2023-10-06 05:30:00,2023-10,2055.85,2091.9,2050.1,2072.1,444220
BHARTIARTL,2023-10-06 05:30:00,2023-10,929.2,929.2,924.3,926.05,2420855
TATAMOTORS,2023-10-06 05:30:00,2023-10,627.0,627.35,620.0,622.45,7922379
WIPRO,2023-10-06 05:30:00,2023-10,408.0,409.8,406.95,407.85,3182502
TECHM,2023-10-06 05:30:00,2023-10,1207.0,1223.0,1205.0,1216.9,1446719
NTPC,2023-10-06 05:30:00,2023-10,234.25,237.5,233.65,235.55,8825123
HINDUNILVR,2023-10-06 05:30:00,2023-10,2519.95,2520.0,2494.0,2499.4,1083342
APOLLOHOSP,2023-10-06 05:30:00,2023-10,5050.0,5084.0,5028.8,5060.25,407753
M&M,2023-10-06 05:30:00,2023-10,1545.0,1554.0,1540.35,1548.85,1743027
GRASIM,2023-10-06 05:30:00,2023-10,1882.62,1898.35,1882.52,1895.76,399766
ICICIBANK,2023-10-06 05:30:00,2023-10,946.0,946.55,938.0,945.2,6355755
ADANIENT,2023-10-06 05:30:00,2023-10,2466.35,2514.95,2466.05,2478.1,1510035
ADANIPORTS,2023-10-06 05:30:00,2023-10,830.0,836.5,826.4,830.75,1877058
BEL,2023-10-06 05:30:00,2023-10,139.0,140.5,138.65,139.0,4987359
BAJAJFINSV,2023-10-06 05:30:00,2023-10,1559.35,1640.7,1551.05,1634.65,7384628
EICHERMOT,2023-10-06 05:30:00,2023-10,3443.6,3464.45,3438.35,3450.4,249258
COALINDIA,2023-10-06 05:30:00,2023-10,290.95,291.0,287.0,287.8,3741467
MARUTI,2023-10-06 05:30:00,2023-10,10283.0,10333.0,10260.0,10302.0,335700
INDUSINDBK,2023-10-06 05:30:00,2023-10,1404.95,1438.0,1401.1,1434.8,2167139
ASIANPAINT,2023-10-06 05:30:00,2023-10,3214.75,3217.0,3190.0,3195.75,814257
TATASTEEL,2023-10-06 05:30:00,2023-10,126.5,127.0,125.1,125.9,21928671
HDFCLIFE,2023-10-06 05:30:00,2023-10,624.55,636.2,622.75,630.9,3713370
DRREDDY,2023-10-06 05:30:00,2023-10,1087.0,1097.44,1081.84,1084.98,1572990
SUNPHARMA,2023-10-06 05:30:00,2023-10,1128.0,1132.15,1123.1,1127.3,1056281
KOTAKBANK,2023-10-06 05:30:00,2023-10,1735.3,1747.0,1730.2,1743.9,1992323
SHRIRAMFIN,2023-10-06 05:30:00,2023-10,1850.95,1863.0,1835.0,1848.85,1262390
NESTLEIND,2023-10-06 05:30:00,2023-10,2298.99,2306.76,2281.49,2291.23,388120
ONGC,2023-10-06 05:30:00,2023-10,183.5,183.5,180.6,181.45,5759904
CIPLA,2023-10-06 05:30:00,2023-10,1165.0,1181.7,1160.45,1163.0,928951
BPCL,2023-10-06 05:30:00,2023-10,172.5,174.5,172.0,173.6,3717076
BRITANNIA,2023-10-06 05:30:00,2023-10,4533.85,4549.45,4515.0,4538.45,238131
SBILIFE,2023-10-06 05:30:00,2023-10,1276.0,1287.55,1272.0,1282.95,784191
HINDALCO,2023-10-06 05:30:00,2023-10,475.0,476.45,469.35,472.6,3134022
HEROMOTOCO,2023-10-06 05:30:00,2023-10,3040.0,3045.0,3022.5,3038.0,180660
AXISBANK,2023-10-06 05:30:00,2023-10,1005.0,1008.0,999.4,1000.95,5289753
HDFCBANK,2023-10-06 05:30:00,2023-10,1544.0,1545.0,1529.85,1534.05,8879678
BAJAJ-AUTO,2023-10-06 05:30:00,2023-10,5120.0,5120.0,4997.5,5014.6,279352
SBIN,2023-10-09 05:30:00,2023-10,588.0,589.0,581.55,585.1,9189597
BAJFINANCE,2023-10-09 05:30:00,2023-10,8102.05,8135.0,8018.0,8027.7,747800
TITAN,2023-10-09 05:30:00,2023-10,3294.7,3296.0,3249.05,3267.5,822467
ITC,2023-10-09 05:30:00,2023-10,440.95,443.2,437.25,440.45,5611154
TCS,2023-10-09 05:30:00,2023-10,3645.05,3679.0,3631.0,3638.35,4233074
LT,2023-10-09 05:30:00,2023-10,3075.0,3085.0,3055.55,3074.7,1181760
TATACONSUM,2023-10-09 05:30:00,2023-10,857.34,873.0,856.16,869.84,1186046
RELIANCE,2023-10-09 05:30:00,2023-10,1154.05,1155.97,1147.5,1149.13,7576878
HCLTECH,2023-10-09 05:30:00,2023-10,1236.0,1266.65,1231.15,1249.6,3430211
JSWSTEEL,2023-10-09 05:30:00,2023-10,756.5,761.4,749.15,757.55,725323
ULTRACEMCO,2023-10-09 05:30:00,2023-10,8170.05,8199.85,8087.2,8110.1,152525
POWERGRID,2023-10-09 05:30:00,2023-10,196.5,196.9,193.75,196.25,7853369
INFY,2023-10-09 05:30:00,2023-10,1464.9,1491.0,1462.2,1475.45,3567552
TRENT,2023-10-09 05:30:00,2023-10,2035.0,2089.45,2032.4,2079.05,487722
